title,type,release_year,listed_in
Red Horizon,Movie,2023,"Action, Thriller"
City of Echoes,Movie,2022,"Drama, Mystery"
Laugh Track,TV Show,2021,"Comedy"
Deep Signal,Movie,2024,"Sci-Fi, Drama"
Night Shift Files,TV Show,2020,"Crime, Thriller"
Broken Summer,Movie,2019,"Romance, Drama"
The Last Protocol,Movie,2024,"Action, Sci-Fi"
Kitchen Kingdom,TV Show,2022,"Reality TV"
Invisible Orbit,Movie,2021,"Documentaries"
Shadow District,TV Show,2023,"Crime, Drama"
Golden Hour,Movie,2020,"Drama"
Fast Lane Stories,TV Show,2024,"Action"
Dreamline,Movie,2022,"Comedy, Romance"
Cold Case Harbor,TV Show,2021,"Mystery, Crime"
Parallel Hearts,Movie,2023,"Romance, Drama"
